 ,Area,Mean,Min,Max,IntDen,RawIntDen
308,167,255,255,255,42585,42585
309,314,255,255,255,80070,80070
310,371,255,255,255,94605,94605
311,268,255,255,255,68340,68340
312,487,255,255,255,124185,124185
313,321,255,255,255,81855,81855
314,282,255,255,255,71910,71910
315,367,255,255,255,93585,93585
316,466,255,255,255,118830,118830
317,362,255,255,255,92310,92310
318,292,255,255,255,74460,74460
319,329,255,255,255,83895,83895
320,315,255,255,255,80325,80325
321,310,255,255,255,79050,79050
322,322,255,255,255,82110,82110
323,299,255,255,255,76245,76245
324,290,255,255,255,73950,73950
325,316,255,255,255,80580,80580
326,309,255,255,255,78795,78795
327,285,255,255,255,72675,72675
328,376,255,255,255,95880,95880
329,372,255,255,255,94860,94860
330,400,255,255,255,102000,102000
331,277,255,255,255,70635,70635
332,365,255,255,255,93075,93075
333,333,255,255,255,84915,84915
334,308,255,255,255,78540,78540
335,468,255,255,255,119340,119340
336,290,255,255,255,73950,73950
337,303,255,255,255,77265,77265
338,298,255,255,255,75990,75990
339,302,255,255,255,77010,77010
340,275,255,255,255,70125,70125
341,322,255,255,255,82110,82110
342,328,255,255,255,83640,83640
343,418,255,255,255,106590,106590
344,290,255,255,255,73950,73950
345,298,255,255,255,75990,75990
346,332,255,255,255,84660,84660
347,275,255,255,255,70125,70125
348,329,255,255,255,83895,83895
349,338,255,255,255,86190,86190
350,300,255,255,255,76500,76500
351,305,255,255,255,77775,77775
352,316,255,255,255,80580,80580
353,366,255,255,255,93330,93330
354,422,255,255,255,107610,107610
355,298,255,255,255,75990,75990
356,439,255,255,255,111945,111945
357,331,255,255,255,84405,84405
358,285,255,255,255,72675,72675
359,469,255,255,255,119595,119595
360,306,255,255,255,78030,78030
361,306,255,255,255,78030,78030
362,290,255,255,255,73950,73950
363,281,255,255,255,71655,71655
364,288,255,255,255,73440,73440
365,266,255,255,255,67830,67830
366,281,255,255,255,71655,71655
367,256,255,255,255,65280,65280
368,327,255,255,255,83385,83385
369,257,255,255,255,65535,65535
370,364,255,255,255,92820,92820
371,330,255,255,255,84150,84150
372,296,255,255,255,75480,75480
373,397,255,255,255,101235,101235
374,292,255,255,255,74460,74460
375,396,255,255,255,100980,100980
376,385,255,255,255,98175,98175
377,480,255,255,255,122400,122400
378,307,255,255,255,78285,78285
379,293,255,255,255,74715,74715
380,359,255,255,255,91545,91545
381,290,255,255,255,73950,73950
382,309,255,255,255,78795,78795
383,340,255,255,255,86700,86700
384,481,255,255,255,122655,122655
385,297,255,255,255,75735,75735
386,335,255,255,255,85425,85425
387,302,255,255,255,77010,77010
388,379,255,255,255,96645,96645
389,299,255,255,255,76245,76245
390,279,255,255,255,71145,71145
391,318,255,255,255,81090,81090
392,306,255,255,255,78030,78030
393,413,255,255,255,105315,105315
394,305,255,255,255,77775,77775
395,260,255,255,255,66300,66300
396,333,255,255,255,84915,84915
397,299,255,255,255,76245,76245
398,337,255,255,255,85935,85935
399,369,255,255,255,94095,94095
400,304,255,255,255,77520,77520
401,285,255,255,255,72675,72675
402,294,255,255,255,74970,74970
403,292,255,255,255,74460,74460
404,284,255,255,255,72420,72420
405,170,255,255,255,43350,43350
406,318,255,255,255,81090,81090
407,325,255,255,255,82875,82875
408,313,255,255,255,79815,79815
409,279,255,255,255,71145,71145
410,345,255,255,255,87975,87975
411,165,255,255,255,42075,42075
412,315,255,255,255,80325,80325
413,312,255,255,255,79560,79560
414,350,255,255,255,89250,89250
415,275,255,255,255,70125,70125
416,376,255,255,255,95880,95880
417,330,255,255,255,84150,84150
418,274,255,255,255,69870,69870
419,312,255,255,255,79560,79560
420,332,255,255,255,84660,84660
421,321,255,255,255,81855,81855
422,293,255,255,255,74715,74715
423,172,255,255,255,43860,43860
424,394,255,255,255,100470,100470
425,321,255,255,255,81855,81855
426,446,255,255,255,113730,113730
427,357,255,255,255,91035,91035
428,441,255,255,255,112455,112455
429,275,255,255,255,70125,70125
430,359,255,255,255,91545,91545
431,434,255,255,255,110670,110670
432,324,255,255,255,82620,82620
433,286,255,255,255,72930,72930
434,297,255,255,255,75735,75735
435,309,255,255,255,78795,78795
436,308,255,255,255,78540,78540
437,312,255,255,255,79560,79560
438,320,255,255,255,81600,81600
439,306,255,255,255,78030,78030
440,359,255,255,255,91545,91545
441,314,255,255,255,80070,80070
442,417,255,255,255,106335,106335
443,302,255,255,255,77010,77010
444,429,255,255,255,109395,109395
445,403,255,255,255,102765,102765
446,323,255,255,255,82365,82365
447,295,255,255,255,75225,75225
448,464,255,255,255,118320,118320
449,295,255,255,255,75225,75225
450,262,255,255,255,66810,66810
451,346,255,255,255,88230,88230
452,343,255,255,255,87465,87465
453,383,255,255,255,97665,97665
454,344,255,255,255,87720,87720
